Rank,Team,Points,Last Year,Change,Year,Season,Gender,Division,Description
34.0,NOTRE DAME,8.0,ACC,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
36.0,TCU,7.0,Big 12,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
37.0,SOUTH DAKOTA,6.0,Summit League,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
37.0,VIRGINIA TECH,6.0,ACC,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
37.0,CAMPBELL,6.0,Big South,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
37.0,NEBRASKA,6.0,Big Ten,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
37.0,OKLAHOMA STATE,6.0,Big 12,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
42.0,SOUTH CAROLINA,5.0,SEC,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
42.0,SAM HOUSTON STATE,5.0,Southland,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
42.0,MIAMI (OHIO),5.0,Mid-American,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
42.0,STANFORD,5.0,Pac-12,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
46.0,MONTANA STATE,4.0,Big Sky,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
46.0,COLORADO STATE,4.0,Mountain West,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
46.0,WASHINGTON,4.0,Pac-12,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
46.0,NORTH DAKOTA STATE,4.0,Summit League,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
50.0,SOUTHEASTERN LOUISIANA,3.0,Southland,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
50.0,UCLA,3.0,Pac-12,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
50.0,TEXAS A&M-CORPUS CHRISTI,3.0,Southland,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
50.0,HOFSTRA,3.0,Colonial,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
50.0,LONG BEACH STATE,3.0,Big West,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
50.0,IDAHO,3.0,Big Sky,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
50.0,LIPSCOMB,3.0,ASUN,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
57.0,WYOMING,2.0,Mountain West,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
57.0,NORTHERN IOWA,2.0,Missouri Valley,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
57.0,NORTH CAROLINA,2.0,ACC,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
57.0,OHIO STATE,2.0,Big Ten,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
61.0,UTEP,1.5,Conference USA,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
62.0,MICHIGAN STATE,1.0,Big Ten,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
62.0,WASHINGTON STATE,1.0,Pac-12,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
62.0,CHARLOTTE,1.0,Conference USA,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
65.0,BUFFALO,0.5,Mid-American,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
1.0,SOUTHERN CALIFORNIA,74.0,Pac-12,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
2.0,TEXAS A&M,63.0,SEC,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
3.0,GEORGIA,37.5,SEC,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
4.0,NORTH CAROLINA A&T,31.0,MEAC,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
4.0,ALABAMA,31.0,SEC,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
6.0,LSU,28.5,SEC,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
7.0,FLORIDA,28.0,SEC,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
7.0,TEXAS,28.0,Big 12,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
9.0,ARIZONA STATE,22.0,Pac-12,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
10.0,BYU,20.0,Independent,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
11.0,OREGON,19.0,Pac-12,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
11.0,OHIO STATE,19.0,Big Ten,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
11.0,TEXAS TECH,19.0,Big 12,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
14.0,FLORIDA STATE,18.0,ACC,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
15.0,ARKANSAS,17.0,SEC,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
16.0,AIR FORCE,16.0,Mountain West,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
16.0,VIRGINIA,16.0,ACC,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
18.0,SOUTH CAROLINA,15.0,SEC,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
19.0,WASHINGTON,14.0,Pac-12,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
19.0,MIAMI (FLA.),14.0,ACC,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
21.0,KENTUCKY,13.0,SEC,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
21.0,RICE,13.0,Conference USA,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
21.0,NORTH DAKOTA STATE,13.0,Summit League,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
24.0,BAYLOR,12.5,Big 12,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
25.0,STANFORD,12.0,Pac-12,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
26.0,NC STATE,11.0,ACC,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
26.0,IOWA,11.0,Big Ten,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
26.0,COLORADO,11.0,Pac-12,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
26.0,AUBURN,11.0,SEC,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
30.0,CALIFORNIA,10.0,Pac-12,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
30.0,ARIZONA,10.0,Pac-12,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
32.0,DUKE,9.0,ACC,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
33.0,NOTRE DAME,8.0,ACC,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
33.0,PENN STATE,8.0,Big Ten,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
33.0,UCF,8.0,American,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
33.0,OLE MISS,8.0,SEC,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
33.0,GEORGIA TECH,8.0,ACC,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
33.0,CLEMSON,8.0,ACC,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
33.0,WISCONSIN,8.0,Big Ten,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
40.0,UCLA,6.0,Pac-12,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
40.0,MINNESOTA,6.0,Big Ten,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
40.0,BUCKNELL,6.0,Patriot,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
40.0,NORTH CAROLINA,6.0,ACC,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
44.0,MICHIGAN STATE,5.5,Big Ten,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
44.0,EAST CAROLINA,5.5,American,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
46.0,VIRGINIA TECH,5.0,ACC,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
46.0,FRESNO STATE,5.0,Mountain West,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
46.0,TENNESSEE,5.0,SEC,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
46.0,INDIANA,5.0,Big Ten,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
50.0,NEW MEXICO,4.0,Mountain West,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
50.0,ILLINOIS STATE,4.0,Missouri Valley,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
50.0,BOISE STATE,4.0,Mountain West,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
50.0,KENNESAW STATE,4.0,ASUN,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
54.0,HIGH POINT,3.0,Big South,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
54.0,WEST VIRGINIA,3.0,Big 12,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
54.0,VILLANOVA,3.0,Big East,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
54.0,KENT STATE,3.0,Mid-American,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
58.0,HOUSTON,2.0,American,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
58.0,FURMAN,2.0,SoCon,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
58.0,BINGHAMTON,2.0,America East,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
58.0,UNLV,2.0,Mountain West,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
62.0,KANSAS,1.5,Big 12,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
63.0,CORNELL,1.0,Ivy League,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
63.0,WASHINGTON STATE,1.0,Pac-12,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
63.0,WEBER STATE,1.0,Big Sky,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
63.0,RICHMOND,1.0,Atlantic 10,NR,2021,Outdoor Track,Women,I,FINAL - June 12th
1.0,TEXAS TECH,60.0,Big 12,▲4(LW: 5),2019,Outdoor Track,Men,I,FINAL - June 8th
2.0,FLORIDA,50.0,SEC,◀▶(LW: 2),2019,Outdoor Track,Men,I,FINAL - June 8th
3.0,HOUSTON,40.0,American,◀▶(LW: 3),2019,Outdoor Track,Men,I,FINAL - June 8th
4.0,GEORGIA,32.5,SEC,▼3(LW: 1),2019,Outdoor Track,Men,I,FINAL - June 8th
5.0,STANFORD,32.0,Pac-12,▲3(LW: 8),2019,Outdoor Track,Men,I,FINAL - June 8th
6.0,TEXAS A&M,29.0,SEC,▲1(LW: 7),2019,Outdoor Track,Men,I,FINAL - June 8th
7.0,LSU,28.0,SEC,▲1(LW: 8),2019,Outdoor Track,Men,I,FINAL - June 8th
8.0,BYU,27.0,Independent (DI),▲32(LW: 40),2019,Outdoor Track,Men,I,FINAL - June 8th
9.0,TEXAS,26.0,Big 12,▲16(LW: 25),2019,Outdoor Track,Men,I,FINAL - June 8th
10.0,ALABAMA,25.0,SEC,▼5(LW: 5),2019,Outdoor Track,Men,I,FINAL - June 8th
11.0,MISSISSIPPI STATE,24.0,SEC,▼1(LW: 10),2019,Outdoor Track,Men,I,FINAL - June 8th
12.0,OREGON,23.0,Pac-12,▲23(LW: 35),2019,Outdoor Track,Men,I,FINAL - June 8th
12.0,SOUTH CAROLINA,23.0,SEC,▲23(LW: 35),2019,Outdoor Track,Men,I,FINAL - June 8th
14.0,KANSAS,21.0,Big 12,▲20(LW: 34),2019,Outdoor Track,Men,I,FINAL - June 8th
15.0,ARKANSAS,19.0,SEC,▼3(LW: 12),2019,Outdoor Track,Men,I,FINAL - June 8th
15.0,NORTH CAROLINA A&T,19.0,MEAC,▲34(LW: 49),2019,Outdoor Track,Men,I,FINAL - June 8th
17.0,FLORIDA STATE,18.0,ACC,▼6(LW: 11),2019,Outdoor Track,Men,I,FINAL - June 8th
18.0,WISCONSIN,16.0,Big Ten,▲9(LW: 27),2019,Outdoor Track,Men,I,FINAL - June 8th
18.0,OKLAHOMA STATE,16.0,Big 12,▲52(LW: 70),2019,Outdoor Track,Men,I,FINAL - June 8th
18.0,UCLA,16.0,Pac-12,▲48(LW: 66),2019,Outdoor Track,Men,I,FINAL - June 8th
18.0,VIRGINIA,16.0,ACC,▲37(LW: 55),2019,Outdoor Track,Men,I,FINAL - June 8th
22.0,BAYLOR,14.0,Big 12,▲33(LW: 55),2019,Outdoor Track,Men,I,FINAL - June 8th
22.0,ARIZONA,14.0,Pac-12,▲21(LW: 43),2019,Outdoor Track,Men,I,FINAL - June 8th
24.0,NORTH DAKOTA STATE,13.0,Summit League,▲46(LW: 70),2019,Outdoor Track,Men,I,FINAL - June 8th
24.0,SOUTHERN MISS,13.0,Conference USA,▲16(LW: 40),2019,Outdoor Track,Men,I,FINAL - June 8th
26.0,MICHIGAN,12.0,Big Ten,▼6(LW: 20),2019,Outdoor Track,Men,I,FINAL - June 8th
26.0,KANSAS STATE,12.0,Big 12,▲1(LW: 27),2019,Outdoor Track,Men,I,FINAL - June 8th
28.0,SOUTH DAKOTA,10.0,Summit League,▼1(LW: 27),2019,Outdoor Track,Men,I,FINAL - June 8th
28.0,IOWA STATE,10.0,Big 12,▲34(LW: 62),2019,Outdoor Track,Men,I,FINAL - June 8th
28.0,TCU,10.0,Big 12,▲3(LW: 31),2019,Outdoor Track,Men,I,FINAL - June 8th
28.0,NOTRE DAME,10.0,ACC,▲42(LW: 70),2019,Outdoor Track,Men,I,FINAL - June 8th
28.0,KENNESAW STATE,10.0,Atlantic Sun,▲42(LW: 70),2019,Outdoor Track,Men,I,FINAL - June 8th
33.0,INDIANA,9.0,Big Ten,▲37(LW: 70),2019,Outdoor Track,Men,I,FINAL - June 8th
34.0,MICHIGAN STATE,8.0,Big Ten,▲12(LW: 46),2019,Outdoor Track,Men,I,FINAL - June 8th
34.0,KENTUCKY,8.0,SEC,▼18(LW: 16),2019,Outdoor Track,Men,I,FINAL - June 8th
36.0,PURDUE,7.0,Big Ten,▲19(LW: 55),2019,Outdoor Track,Men,I,FINAL - June 8th
37.0,SAM HOUSTON STATE,6.0,Southland,▲33(LW: 70),2019,Outdoor Track,Men,I,FINAL - June 8th
37.0,SOUTHERN CALIFORNIA,6.0,Pac-12,▼33(LW: 4),2019,Outdoor Track,Men,I,FINAL - June 8th
37.0,MIDDLE TENNESSEE,6.0,Conference USA,NR,2019,Outdoor Track,Men,I,FINAL - June 8th
40.0,UTAH STATE,5.0,Mountain West,▼22(LW: 18),2019,Outdoor Track,Men,I,FINAL - June 8th
40.0,MINNESOTA,5.0,Big Ten,▼13(LW: 27),2019,Outdoor Track,Men,I,FINAL - June 8th
40.0,SAINT FRANCIS (PA.),5.0,Northeast,NR,2019,Outdoor Track,Men,I,FINAL - June 8th
40.0,IOWA,5.0,Big Ten,▼9(LW: 31),2019,Outdoor Track,Men,I,FINAL - June 8th
40.0,LIBERTY,5.0,Atlantic Sun,▲22(LW: 62),2019,Outdoor Track,Men,I,FINAL - June 8th
45.0,SOUTHERN UTAH,4.5,Big Sky,▲25(LW: 70),2019,Outdoor Track,Men,I,FINAL - June 8th
46.0,ARIZONA STATE,4.0,Pac-12,NR,2019,Outdoor Track,Men,I,FINAL - June 8th
46.0,COPPIN STATE,4.0,MEAC,NR,2019,Outdoor Track,Men,I,FINAL - June 8th
46.0,ARKANSAS STATE,4.0,Sun Belt,▲24(LW: 70),2019,Outdoor Track,Men,I,FINAL - June 8th
46.0,WICHITA STATE,4.0,American,▲20(LW: 66),2019,Outdoor Track,Men,I,FINAL - June 8th
50.0,HARVARD,3.0,Ivy League,NR,2019,Outdoor Track,Men,I,FINAL - June 8th
50.0,ALABAMA STATE,3.0,SWAC,NR,2019,Outdoor Track,Men,I,FINAL - June 8th
50.0,NORTHERN ARIZONA,3.0,Big Sky,▼30(LW: 20),2019,Outdoor Track,Men,I,FINAL - June 8th
50.0,WASHINGTON,3.0,Pac-12,▼1(LW: 49),2019,Outdoor Track,Men,I,FINAL - June 8th
50.0,AIR FORCE,3.0,Mountain West,NR,2019,Outdoor Track,Men,I,FINAL - June 8th
55.0,HOUSTON BAPTIST,2.0,Southland,NR,2019,Outdoor Track,Men,I,FINAL - June 8th
55.0,PENN STATE,2.0,Big Ten,▼37(LW: 18),2019,Outdoor Track,Men,I,FINAL - June 8th
55.0,ILLINOIS STATE,2.0,Missouri Valley,NR,2019,Outdoor Track,Men,I,FINAL - June 8th
55.0,LONG BEACH STATE,2.0,Big West,▲15(LW: 70),2019,Outdoor Track,Men,I,FINAL - June 8th
55.0,LOUISVILLE,2.0,ACC,▼9(LW: 46),2019,Outdoor Track,Men,I,FINAL - June 8th
55.0,ILLINOIS,2.0,Big Ten,▼35(LW: 20),2019,Outdoor Track,Men,I,FINAL - June 8th
61.0,VILLANOVA,1.0,Big East,NR,2019,Outdoor Track,Men,I,FINAL - June 8th
61.0,CALIFORNIA,1.0,Pac-12,▲9(LW: 70),2019,Outdoor Track,Men,I,FINAL - June 8th
61.0,TENNESSEE,1.0,SEC,▼6(LW: 55),2019,Outdoor Track,Men,I,FINAL - June 8th
61.0,AKRON,1.0,Mid-American,▼45(LW: 16),2019,Outdoor Track,Men,I,FINAL - June 8th
1.0,ARKANSAS,64.0,SEC,▲10(LW: 11),2019,Outdoor Track,Women,I,FINAL - June 8th
2.0,SOUTHERN CALIFORNIA,57.0,Pac-12,▼1(LW: 1),2019,Outdoor Track,Women,I,FINAL - June 8th
3.0,LSU,43.0,SEC,▲3(LW: 6),2019,Outdoor Track,Women,I,FINAL - June 8th
4.0,TEXAS A&M,38.0,SEC,▲15(LW: 19),2019,Outdoor Track,Women,I,FINAL - June 8th
5.0,OREGON,34.0,Pac-12,▲2(LW: 7),2019,Outdoor Track,Women,I,FINAL - June 8th
6.0,FLORIDA,32.0,SEC,▼1(LW: 5),2019,Outdoor Track,Women,I,FINAL - June 8th
7.0,ALABAMA,29.0,SEC,▲39(LW: 46),2019,Outdoor Track,Women,I,FINAL - June 8th
8.0,NEW MEXICO,27.0,Mountain West,▲9(LW: 17),2019,Outdoor Track,Women,I,FINAL - June 8th
9.0,COLORADO,24.0,Pac-12,▲28(LW: 37),2019,Outdoor Track,Women,I,FINAL - June 8th
10.0,STANFORD,20.0,Pac-12,▼7(LW: 3),2019,Outdoor Track,Women,I,FINAL - June 8th
10.0,SOUTH CAROLINA,20.0,SEC,▲46(LW: 56),2019,Outdoor Track,Women,I,FINAL - June 8th
10.0,FLORIDA STATE,20.0,ACC,▲4(LW: 14),2019,Outdoor Track,Women,I,FINAL - June 8th
10.0,TEXAS,20.0,Big 12,▲24(LW: 34),2019,Outdoor Track,Women,I,FINAL - June 8th
14.0,KENTUCKY,19.5,SEC,▼10(LW: 4),2019,Outdoor Track,Women,I,FINAL - June 8th
15.0,NORTH CAROLINA A&T,19.0,MEAC,NR,2019,Outdoor Track,Women,I,FINAL - June 8th
16.0,KANSAS STATE,16.0,Big 12,▲1(LW: 17),2019,Outdoor Track,Women,I,FINAL - June 8th
17.0,WASHINGTON,14.0,Pac-12,▲27(LW: 44),2019,Outdoor Track,Women,I,FINAL - June 8th
17.0,PENN,14.0,Ivy League,▲52(LW: 69),2019,Outdoor Track,Women,I,FINAL - June 8th
17.0,NORTH CAROLINA,14.0,ACC,▲52(LW: 69),2019,Outdoor Track,Women,I,FINAL - June 8th
20.0,BOISE STATE,13.0,Mountain West,▲5(LW: 25),2019,Outdoor Track,Women,I,FINAL - June 8th
20.0,MIAMI (FLA.),13.0,ACC,▲49(LW: 69),2019,Outdoor Track,Women,I,FINAL - June 8th
22.0,ARIZONA STATE,12.0,Pac-12,▼13(LW: 9),2019,Outdoor Track,Women,I,FINAL - June 8th
22.0,OKLAHOMA STATE,12.0,Big 12,NR,2019,Outdoor Track,Women,I,FINAL - June 8th
24.0,OHIO STATE,11.0,Big Ten,▲32(LW: 56),2019,Outdoor Track,Women,I,FINAL - June 8th
25.0,BYU,10.0,Independent (DI),▲42(LW: 67),2019,Outdoor Track,Women,I,FINAL - June 8th
25.0,IOWA,10.0,Big Ten,▼12(LW: 13),2019,Outdoor Track,Women,I,FINAL - June 8th
25.0,CALIFORNIA,10.0,Pac-12,▲44(LW: 69),2019,Outdoor Track,Women,I,FINAL - June 8th
25.0,TEXAS TECH,10.0,Big 12,▲21(LW: 46),2019,Outdoor Track,Women,I,FINAL - June 8th
25.0,UCLA,10.0,Pac-12,▼11(LW: 14),2019,Outdoor Track,Women,I,FINAL - June 8th
30.0,VIRGINIA,9.0,ACC,▲13(LW: 43),2019,Outdoor Track,Women,I,FINAL - June 8th
30.0,NOTRE DAME,9.0,ACC,▲16(LW: 46),2019,Outdoor Track,Women,I,FINAL - June 8th
32.0,AUBURN,8.0,SEC,▼16(LW: 16),2019,Outdoor Track,Women,I,FINAL - June 8th
32.0,SAN DIEGO STATE,8.0,Mountain West,▲14(LW: 46),2019,Outdoor Track,Women,I,FINAL - June 8th
32.0,NORTHWESTERN STATE,8.0,Southland,NR,2019,Outdoor Track,Women,I,FINAL - June 8th
32.0,INDIANA STATE,8.0,Missouri Valley,NR,2019,Outdoor Track,Women,I,FINAL - June 8th
36.0,WOFFORD,7.0,Southern,▲33(LW: 69),2019,Outdoor Track,Women,I,FINAL - June 8th
36.0,MISSOURI,7.0,SEC,▼25(LW: 11),2019,Outdoor Track,Women,I,FINAL - June 8th
38.0,VILLANOVA,6.5,Big East,▲2(LW: 40),2019,Outdoor Track,Women,I,FINAL - June 8th
39.0,COLORADO STATE,6.0,Mountain West,▲30(LW: 69),2019,Outdoor Track,Women,I,FINAL - June 8th
39.0,UNLV,6.0,Mountain West,NR,2019,Outdoor Track,Women,I,FINAL - June 8th
41.0,GEORGIA TECH,5.0,ACC,NR,2019,Outdoor Track,Women,I,FINAL - June 8th
41.0,RUTGERS,5.0,Big Ten,NR,2019,Outdoor Track,Women,I,FINAL - June 8th
41.0,UC SANTA BARBARA,5.0,Big West,▲28(LW: 69),2019,Outdoor Track,Women,I,FINAL - June 8th
41.0,TCU,5.0,Big 12,NR,2019,Outdoor Track,Women,I,FINAL - June 8th
41.0,RHODE ISLAND,5.0,Atlantic 10,NR,2019,Outdoor Track,Women,I,FINAL - June 8th
41.0,KANSAS,5.0,Big 12,▼19(LW: 22),2019,Outdoor Track,Women,I,FINAL - June 8th
41.0,GEORGETOWN,5.0,Big East,NR,2019,Outdoor Track,Women,I,FINAL - June 8th
48.0,UC DAVIS,4.0,Big West,▼14(LW: 34),2019,Outdoor Track,Women,I,FINAL - June 8th
48.0,INDIANA,4.0,Big Ten,▲21(LW: 69),2019,Outdoor Track,Women,I,FINAL - June 8th
48.0,MINNESOTA,4.0,Big Ten,▲8(LW: 56),2019,Outdoor Track,Women,I,FINAL - June 8th
48.0,NORTH DAKOTA STATE,4.0,Summit League,▼20(LW: 28),2019,Outdoor Track,Women,I,FINAL - June 8th
48.0,MICHIGAN STATE,4.0,Big Ten,▲15(LW: 63),2019,Outdoor Track,Women,I,FINAL - June 8th
48.0,AKRON,4.0,Mid-American,▼2(LW: 46),2019,Outdoor Track,Women,I,FINAL - June 8th
48.0,MONMOUTH,4.0,Metro Atlantic,NR,2019,Outdoor Track,Women,I,FINAL - June 8th
48.0,ARIZONA,4.0,Pac-12,NR,2019,Outdoor Track,Women,I,FINAL - June 8th
48.0,NEBRASKA,4.0,Big Ten,▲21(LW: 69),2019,Outdoor Track,Women,I,FINAL - June 8th
57.0,NORFOLK STATE,3.0,MEAC,▼11(LW: 46),2019,Outdoor Track,Women,I,FINAL - June 8th
57.0,INCARNATE WORD,3.0,Southland,NR,2019,Outdoor Track,Women,I,FINAL - June 8th
57.0,NORTH DAKOTA,3.0,Summit League,NR,2019,Outdoor Track,Women,I,FINAL - June 8th
57.0,OKLAHOMA,3.0,Big 12,▼29(LW: 28),2019,Outdoor Track,Women,I,FINAL - June 8th
57.0,ALBANY,3.0,America East,NR,2019,Outdoor Track,Women,I,FINAL - June 8th
62.0,SOUTH DAKOTA,2.0,Summit League,▲7(LW: 69),2019,Outdoor Track,Women,I,FINAL - June 8th
62.0,KENNESAW STATE,2.0,Atlantic Sun,▲7(LW: 69),2019,Outdoor Track,Women,I,FINAL - June 8th
62.0,BAYLOR,2.0,Big 12,▲1(LW: 63),2019,Outdoor Track,Women,I,FINAL - June 8th
62.0,SYRACUSE,2.0,ACC,▼25(LW: 37),2019,Outdoor Track,Women,I,FINAL - June 8th
66.0,TENNESSEE,1.0,SEC,▼41(LW: 25),2019,Outdoor Track,Women,I,FINAL - June 8th
66.0,WISCONSIN,1.0,Big Ten,▼44(LW: 22),2019,Outdoor Track,Women,I,FINAL - June 8th
66.0,MISSISSIPPI STATE,1.0,SEC,NR,2019,Outdoor Track,Women,I,FINAL - June 8th
66.0,GEORGIA,1.0,SEC,▼64(LW: 2),2019,Outdoor Track,Women,I,FINAL - June 8th
66.0,VANDERBILT,1.0,SEC,▲3(LW: 69),2019,Outdoor Track,Women,I,FINAL - June 8th
66.0,WICHITA STATE,1.0,American,NR,2019,Outdoor Track,Women,I,FINAL - June 8th
1.0,GEORGIA,52.0,SEC,▲5(LW: 6),2018,Outdoor Track,Men,I,FINAL - June 9th
2.0,FLORIDA,42.0,SEC,▼1(LW: 1),2018,Outdoor Track,Men,I,FINAL - June 9th
3.0,HOUSTON,35.0,American,▲9(LW: 12),2018,Outdoor Track,Men,I,FINAL - June 9th
4.0,SOUTHERN CALIFORNIA,34.0,Pac-12,▲16(LW: 20),2018,Outdoor Track,Men,I,FINAL - June 9th
5.0,ALABAMA,33.0,SEC,▲5(LW: 10),2018,Outdoor Track,Men,I,FINAL - June 9th
5.0,TEXAS TECH,33.0,Big 12,▲12(LW: 17),2018,Outdoor Track,Men,I,FINAL - June 9th
7.0,TEXAS A&M,29.0,SEC,▼5(LW: 2),2018,Outdoor Track,Men,I,FINAL - June 9th
8.0,STANFORD,28.0,Pac-12,▲18(LW: 26),2018,Outdoor Track,Men,I,FINAL - June 9th
8.0,LSU,28.0,SEC,▼1(LW: 7),2018,Outdoor Track,Men,I,FINAL - June 9th
10.0,MISSISSIPPI STATE,26.0,SEC,▲16(LW: 26),2018,Outdoor Track,Men,I,FINAL - June 9th
11.0,FLORIDA STATE,25.0,ACC,▲40(LW: 51),2018,Outdoor Track,Men,I,FINAL - June 9th
12.0,ARKANSAS,19.0,SEC,▼8(LW: 4),2018,Outdoor Track,Men,I,FINAL - June 9th
12.0,OHIO STATE,19.0,Big Ten,▲21(LW: 33),2018,Outdoor Track,Men,I,FINAL - June 9th
14.0,AUBURN,18.0,SEC,▼9(LW: 5),2018,Outdoor Track,Men,I,FINAL - June 9th
15.0,VIRGINIA TECH,17.0,ACC,▲17(LW: 32),2018,Outdoor Track,Men,I,FINAL - June 9th
16.0,KENTUCKY,16.0,SEC,▲43(LW: 59),2018,Outdoor Track,Men,I,FINAL - June 9th
16.0,AKRON,16.0,Mid-American,▲1(LW: 17),2018,Outdoor Track,Men,I,FINAL - June 9th
18.0,PENN STATE,15.0,Big Ten,▲2(LW: 20),2018,Outdoor Track,Men,I,FINAL - June 9th
18.0,UTAH STATE,15.0,Mountain West,▲47(LW: 65),2018,Outdoor Track,Men,I,FINAL - June 9th
20.0,ILLINOIS,14.0,Big Ten,▲13(LW: 33),2018,Outdoor Track,Men,I,FINAL - June 9th
20.0,MICHIGAN,14.0,Big Ten,▲21(LW: 41),2018,Outdoor Track,Men,I,FINAL - June 9th
20.0,MEMPHIS,14.0,American,NR,2018,Outdoor Track,Men,I,FINAL - June 9th
20.0,NORTHERN ARIZONA,14.0,Big Sky,▲49(LW: 69),2018,Outdoor Track,Men,I,FINAL - June 9th
24.0,SYRACUSE,13.0,ACC,▲17(LW: 41),2018,Outdoor Track,Men,I,FINAL - June 9th
25.0,TEXAS,12.0,Big 12,▲1(LW: 26),2018,Outdoor Track,Men,I,FINAL - June 9th
