"Rank","Team","Points","Conference","Change","Previous.Rank","Previous.Ranking.Class","Year","Season","Gender","Division","Description","elevation","lat","long"
20,"AIR FORCE",498,"Mountain West",-5,15,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th",6788,38.998,-104.862
21,"SOUTHERN UTAH",523,"Big Sky",-10,11,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th",5807,37.676,-113.072
22,"PRINCETON",557,"Ivy League",6,28,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th",125,40.343,-74.655
23,"VILLANOVA",577,"Big East",9,32,"Unranked",2018,"Cross Country","Men","I","FINAL - November 17th",459,40.037,-75.343
24,"BRADLEY",580,"Missouri Valley",8,32,"Unranked",2018,"Cross Country","Men","I","FINAL - November 17th",183,40.6978,-89.615
25,"ARKANSAS",602,"SEC",-20,5,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th",1434,36.069,-94.175
26,"SYRACUSE",603,"ACC",-13,13,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th",551,43.039,-76.135
27,"TEXAS",630,"Big 12",3,30,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th",522,30.285,-97.734
28,"IONA",634,"Metro Atlantic",-16,12,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th",59,40.927,-73.786
29,"PURDUE",702,"Big Ten",3,32,"Unranked",2018,"Cross Country","Men","I","FINAL - November 17th",623,40.424,-86.921
30,"TULSA",777,"American",2,32,"Unranked",2018,"Cross Country","Men","I","FINAL - November 17th",778,36.152,-95.946
31,"FLORIDA STATE",845,"ACC",1,32,"Unranked",2018,"Cross Country","Men","I","FINAL - November 17th",79,30.442,-84.299
1,"COLORADO",65,"Pac-12",2,3,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th",5345,40.001,-105.266
2,"NEW MEXICO",103,"Mountain West",-1,1,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th",5174,35.084,-106.62
3,"OREGON",160,"Pac-12",2,5,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th",446,44.045,-123.073
4,"MICHIGAN",213,"Big Ten",5,9,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th",879,42.278,-83.738
5,"STANFORD",232,"Pac-12",-1,4,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th",89,37.428,-122.17
6,"BOISE STATE",288,"Mountain West",0,6,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th",2730,43.603,-116.206
7,"BYU",310,"WCC",4,11,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th",4665,40.252,-111.649
8,"NOTRE DAME",313,"ACC",24,32,"Unranked",2018,"Cross Country","Women","I","FINAL - November 17th",725,41.699,-86.239
9,"WASHINGTON",321,"Pac-12",12,21,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th",95,47.236,-122.55
10,"WISCONSIN",325,"Big Ten",0,10,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th",883,43.077,-89.413
11,"MICHIGAN STATE",341,"Big Ten",4,15,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th",863,42.702,-84.482
12,"PORTLAND",344,"WCC",20,32,"Unranked",2018,"Cross Country","Women","I","FINAL - November 17th",33,45.573,-122.728
13,"NC STATE",367,"ACC",-5,8,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th",404,35.785,-78.682
14,"ARKANSAS",398,"SEC",-1,13,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th",1434,36.069,-94.175
15,"IOWA STATE",403,"Big 12",5,20,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th",899,42.027,-93.647
16,"FLORIDA",455,"SEC",16,32,"Unranked",2018,"Cross Country","Women","I","FINAL - November 17th",102,29.644,-82.355
17,"INDIANA",455,"Big Ten",7,24,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th",771,39.178,-86.513
18,"COLUMBIA",468,"Ivy League",10,28,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th",138,40.808,-73.963
19,"OKLAHOMA STATE",481,"Big 12",11,30,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th",938,36.127,-97.074
20,"PENN STATE",482,"Big Ten",-2,18,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th",1148,40.798,-77.86
21,"PRINCETON",488,"Ivy League",11,32,"Unranked",2018,"Cross Country","Women","I","FINAL - November 17th",125,40.343,-74.655
22,"OLE MISS",509,"SEC",3,25,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th",509,34.365,-89.538
23,"FURMAN",527,"SoCon",-16,7,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th",1027,34.926,-82.44
24,"VILLANOVA",547,"Big East",-12,12,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th",459,40.037,-75.343
25,"SOUTHERN UTAH",564,"Big Sky",7,32,"Unranked",2018,"Cross Country","Women","I","FINAL - November 17th",5807,37.676,-113.072
26,"FLORIDA STATE",584,"ACC",6,32,"Unranked",2018,"Cross Country","Women","I","FINAL - November 17th",79,30.442,-84.299
27,"OREGON STATE",600,"Pac-12",5,32,"Unranked",2018,"Cross Country","Women","I","FINAL - November 17th",246,44.564,-123.279
28,"GEORGIA TECH",653,"ACC",4,32,"Unranked",2018,"Cross Country","Women","I","FINAL - November 17th",928,33.776,-84.396
29,"MINNESOTA",673,"Big Ten",-10,19,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th",830,44.974,-93.228
30,"DARTMOUTH",751,"Ivy League",-1,29,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th",541,43.7044,-72.289
31,"TEXAS",862,"Big 12",0,31,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th",522,30.285,-97.734
1,"NORTHERN ARIZONA",74,"Big Sky",0,1,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th",6893,35.18,-111.654
2,"PORTLAND",127,"West Coast",11,13,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th",33,45.573,-122.728
3,"BYU",165,"West Coast",4,7,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th",4665,40.252,-111.649
4,"STANFORD",221,"Pac-12",-2,2,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th",89,37.428,-122.17
5,"ARKANSAS",259,"SEC",0,5,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th",1434,36.069,-94.175
6,"OREGON",274,"Pac-12",3,9,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th",446,44.045,-123.073
7,"IOWA STATE",279,"Big 12",9,16,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th",899,42.027,-93.647
8,"COLORADO",294,"Pac-12",-2,6,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th",5345,40.001,-105.266
9,"COLORADO STATE",318,"Mountain West",8,17,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th",5003,40.573,-105.087
10,"MICHIGAN",328,"Big Ten",22,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th",879,42.278,-83.738
11,"SOUTHERN UTAH",334,"Big Sky",16,27,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th",5807,37.676,-113.072
12,"IONA",373,"Metro Atlantic",-2,10,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th",59,40.927,-73.786
13,"SYRACUSE",406,"ACC",-10,3,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th",551,43.039,-76.135
14,"ALABAMA",420,"SEC",18,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th",222,33.214,-87.539
15,"AIR FORCE",429,"Mountain West",17,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th",6788,38.998,-104.862
16,"VIRGINIA",436,"ACC",2,18,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th",568,38.034,-78.508
17,"NC STATE",455,"ACC",5,22,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th",404,35.785,-78.682
18,"OLE MISS",465,"SEC",-14,4,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th",509,34.365,-89.538
19,"BOISE STATE",475,"Mountain West",0,19,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th",2730,43.603,-116.206
20,"VIRGINIA TECH",481,"ACC",12,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th",2064,37.228,-80.423
21,"UCLA",485,"Pac-12",-6,15,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th",377,34.069,-118.445
22,"WASHINGTON",488,"Pac-12",10,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th",95,47.236,-122.55
23,"MIDDLE TENNESSEE",513,"Conference USA",5,28,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th",627,35.849,-86.365
24,"WASHINGTON STATE",539,"Pac-12",-10,14,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th",2598,46.732,-117.154
25,"MICHIGAN STATE",590,"Big Ten",-5,20,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th",863,42.702,-84.482
26,"FURMAN",603,"SoCon",6,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th",1027,34.926,-82.44
27,"UTAH STATE",603,"Mountain West",5,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th",4787,41.745,-111.81
28,"PRINCETON",620,"Ivy League",4,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th",125,40.343,-74.655
29,"OKLAHOMA STATE",637,"Big 12",-17,12,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th",938,36.127,-97.074
30,"TEXAS",759,"Big 12",0,30,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th",522,30.285,-97.734
31,"NAVY",855,"Patriot",-5,26,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th",3,38.982,-76.484
1,"NEW MEXICO",90,"Mountain West",6,7,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th",5174,35.084,-106.62
2,"SAN FRANCISCO",105,"West Coast",4,6,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th",335,37.777,-122.451
3,"COLORADO",139,"Pac-12",0,3,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th",5345,40.001,-105.266
4,"STANFORD",165,"Pac-12",1,5,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th",89,37.428,-122.17
5,"OREGON",203,"Pac-12",-4,1,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th",446,44.045,-123.073
6,"BOISE STATE",264,"Mountain West",26,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th",2730,43.603,-116.206
7,"FURMAN",271,"SoCon",25,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th",1027,34.926,-82.44
8,"NC STATE",280,"ACC",-4,4,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th",404,35.785,-78.682
9,"MICHIGAN",295,"Big Ten",-7,2,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th",879,42.278,-83.738
10,"WISCONSIN",318,"Big Ten",4,14,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th",883,43.077,-89.413
11,"BYU",342,"West Coast",-1,10,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th",4665,40.252,-111.649
12,"VILLANOVA",346,"Big East",9,21,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th",459,40.037,-75.343
13,"ARKANSAS",377,"SEC",6,19,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th",1434,36.069,-94.175
14,"UTAH STATE",395,"Mountain West",18,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th",4787,41.745,-111.81
15,"MICHIGAN STATE",395,"Big Ten",-7,8,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th",863,42.702,-84.482
16,"PROVIDENCE",400,"Big East",-3,13,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th",151,41.844,-71.435
17,"GEORGIA",411,"SEC",15,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th",728,33.948,-83.377
18,"PENN STATE",443,"Big Ten",0,18,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th",1148,40.798,-77.86
19,"MINNESOTA",488,"Big Ten",13,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th",830,44.974,-93.228
20,"IOWA STATE",508,"Big 12",9,29,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th",899,42.027,-93.647
21,"WASHINGTON",513,"Pac-12",-9,12,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th",95,47.236,-122.55
22,"CALIFORNIA",530,"Pac-12",10,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th",305,37.872,-122.259
23,"EASTERN KENTUCKY",537,"Ohio Valley",9,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th",1004,37.735,-84.299
24,"INDIANA",562,"Big Ten",8,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th",771,39.178,-86.513
25,"OLE MISS",571,"SEC",-2,23,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th",509,34.365,-89.538
26,"SYRACUSE",582,"ACC",6,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th",551,43.039,-76.135
27,"EASTERN MICHIGAN",603,"Mid-American",-18,9,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th",741,42.251,-83.624
28,"COLUMBIA",672,"Ivy League",4,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th",138,40.808,-73.963
29,"DARTMOUTH",745,"Ivy League",3,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th",541,43.7044,-72.289
30,"OKLAHOMA STATE",748,"Big 12",-13,17,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th",938,36.127,-97.074
31,"TEXAS",788,"Big 12",1,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th",522,30.285,-97.734
1,"NORTHERN ARIZONA",125,"Big Sky",31,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th",6893,35.18,-111.654
2,"STANFORD",158,"Pac-12",1,3,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th",89,37.428,-122.17
3,"SYRACUSE",164,"ACC",-2,1,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th",551,43.039,-76.135
4,"OLE MISS",196,"SEC",26,30,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th",509,34.365,-89.538
5,"ARKANSAS",206,"SEC",1,6,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th",1434,36.069,-94.175
6,"COLORADO",223,"Pac-12",-4,2,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th",5345,40.001,-105.266
7,"BYU",247,"WCC",5,12,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th",4665,40.252,-111.649
8,"WISCONSIN",256,"Big Ten",24,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th",883,43.077,-89.413
9,"OREGON",282,"Pac-12",-5,4,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th",446,44.045,-123.073
10,"IONA",319,"Metro Atlantic",-5,5,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th",59,40.927,-73.786
11,"TULSA",340,"American",9,20,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th",778,36.152,-95.946
12,"OKLAHOMA STATE",363,"Big 12",6,18,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th",938,36.127,-97.074
13,"PORTLAND",368,"WCC",19,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th",33,45.573,-122.728
14,"WASHINGTON STATE",370,"Pac-12",12,26,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th",2598,46.732,-117.154
15,"UCLA",378,"Pac-12",-1,14,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th",377,34.069,-118.445
16,"IOWA STATE",384,"Big 12",16,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th",899,42.027,-93.647
17,"COLORADO STATE",388,"Mountain West",15,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th",5003,40.573,-105.087
18,"VIRGINIA",476,"ACC",4,22,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th",568,38.034,-78.508
19,"BOISE STATE",478,"Mountain West",-3,16,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th",2730,43.603,-116.206
20,"MICHIGAN STATE",504,"Big Ten",5,25,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th",863,42.702,-84.482
21,"GEORGETOWN",534,"Big East",-11,10,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th",141,38.908,-77.072
22,"NC STATE",543,"ACC",6,28,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th",404,35.785,-78.682
23,"ILLINOIS",564,"Big Ten",9,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th",751,40.102,-88.227
24,"PROVIDENCE",611,"Big East",8,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th",151,41.844,-71.435
25,"DARTMOUTH",621,"Ivy League",7,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th",541,43.7044,-72.289
26,"NAVY",622,"Patriot",6,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th",3,38.982,-76.484
27,"SOUTHERN UTAH",629,"Big Sky",-6,21,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th",5807,37.676,-113.072
28,"MIDDLE TENNESSEE",697,"Conference USA",4,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th",627,35.849,-86.365
29,"UTEP",707,"Conference USA",-18,11,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th",3720,31.773,-106.505
30,"TEXAS",736,"Big 12",1,31,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th",522,30.285,-97.734
31,"CALIFORNIA",776,"Pac-12",-8,23,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th",305,37.872,-122.259
1,"OREGON",125,"Pac-12",2,3,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th",446,44.045,-123.073
2,"MICHIGAN",126,"Big Ten",4,6,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th",879,42.278,-83.738
3,"COLORADO",134,"Pac-12",-1,2,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th",5345,40.001,-105.266
4,"NC STATE",223,"ACC",1,5,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th",404,35.785,-78.682
5,"STANFORD",255,"Pac-12",9,14,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th",89,37.428,-122.17
6,"SAN FRANCISCO",307,"WCC",22,28,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th",335,37.777,-122.451
7,"NEW MEXICO",310,"Mountain West",-6,1,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th",5174,35.084,-106.62
8,"MICHIGAN STATE",314,"Big Ten",5,13,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th",863,42.702,-84.482
9,"EASTERN MICHIGAN",316,"Mid-American",23,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th",741,42.251,-83.624
10,"BYU",328,"WCC",13,23,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th",4665,40.252,-111.649
11,"NOTRE DAME",338,"ACC",-3,8,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th",725,41.699,-86.239
12,"WASHINGTON",352,"Pac-12",-2,10,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th",95,47.236,-122.55
13,"PROVIDENCE",399,"Big East",-9,4,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th",151,41.844,-71.435
14,"WISCONSIN",451,"Big Ten",18,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th",883,43.077,-89.413
15,"MISSISSIPPI STATE",459,"SEC",2,17,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th",381,33.455,-88.794
16,"MISSOURI",459,"SEC",16,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th",748,38.94,-92.328
17,"OKLAHOMA STATE",465,"Big 12",-10,7,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th",938,36.127,-97.074
18,"PENN STATE",465,"Big Ten",-2,16,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th",1148,40.798,-77.86
19,"ARKANSAS",476,"SEC",-10,9,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th",1434,36.069,-94.175
20,"UTAH",493,"Pac-12",6,26,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th",4783,40.765,-111.842
21,"VILLANOVA",505,"Big East",9,30,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th",459,40.037,-75.343
22,"PORTLAND",509,"WCC",10,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th",33,45.573,-122.728
23,"OLE MISS",514,"SEC",9,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th",509,34.365,-89.538
24,"PENN",520,"Ivy League",8,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th",62,39.952,-75.193
25,"AIR FORCE",527,"Mountain West",7,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th",6788,38.998,-104.862
26,"HARVARD",551,"Ivy League",6,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th",10,42.377,-71.117
27,"BAYLOR",586,"Big 12",5,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th",470,31.549,-97.113
28,"UCLA",596,"Pac-12",4,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th",377,34.069,-118.445
29,"IOWA STATE",608,"Big 12",-5,24,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th",899,42.027,-93.647
30,"YALE",661,"Ivy League",2,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th",62,41.316,-72.922
31,"LOUISVILLE",788,"ACC",1,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th",546,38.212,-85.759
1,"SYRACUSE",82,"ACC",4,5,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st",551,43.039,-76.135
2,"COLORADO",91,"Pac-12",-1,1,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st",5345,40.001,-105.266
3,"STANFORD",151,"Pac-12",-1,2,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st",89,37.428,-122.17
4,"OREGON",183,"Pac-12",2,6,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st",446,44.045,-123.073
5,"IONA",231,"Metro Atlantic",3,8,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st",59,40.927,-73.786
6,"ARKANSAS",244,"SEC",22,28,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st",1434,36.069,-94.175
7,"LOUISVILLE",331,"ACC",25,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st",546,38.212,-85.759
8,"WASHINGTON",345,"Pac-12",12,20,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st",95,47.236,-122.55
9,"MICHIGAN",348,"Big Ten",2,11,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st",879,42.278,-83.738
10,"GEORGETOWN",352,"Big East",7,17,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st",141,38.908,-77.072
11,"UTEP",354,"Conference USA",16,27,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st",3720,31.773,-106.505
12,"BYU",406,"WCC",4,16,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st",4665,40.252,-111.649
13,"FURMAN",423,"SoCon",17,30,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st",1027,34.926,-82.44
14,"UCLA",429,"Pac-12",4,18,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st",377,34.069,-118.445
15,"OKLAHOMA",432,"Big 12",17,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st",1165,35.206,-97.446
16,"BOISE STATE",435,"Mountain West",16,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st",2730,43.603,-116.206
17,"EASTERN KENTUCKY",446,"OVC",6,23,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st",1004,37.735,-84.299
18,"OKLAHOMA STATE",450,"Big 12",-9,9,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st",938,36.127,-97.074
19,"MINNESOTA",464,"Big Ten",13,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st",830,44.974,-93.228
20,"TULSA",468,"American",5,25,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st",778,36.152,-95.946
21,"SOUTHERN UTAH",477,"Big Sky",1,22,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st",5807,37.676,-113.072
22,"VIRGINIA",480,"ACC",-1,21,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st",568,38.034,-78.508
23,"CALIFORNIA",524,"Pac-12",9,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st",305,37.872,-122.259
24,"PENN",526,"Ivy League",8,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st",62,39.952,-75.193
25,"MICHIGAN STATE",543,"Big Ten",-1,24,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st",863,42.702,-84.482
26,"WASHINGTON STATE",547,"Pac-12",6,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st",2598,46.732,-117.154
27,"VIRGINIA TECH",581,"ACC",5,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st",2064,37.228,-80.423
28,"NC STATE",596,"ACC",4,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st",404,35.785,-78.682
29,"FLORIDA STATE",598,"ACC",2,31,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st",79,30.442,-84.299
30,"OLE MISS",607,"SEC",-1,29,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st",509,34.365,-89.538
31,"TEXAS",833,"Big 12",-5,26,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st",522,30.285,-97.734
1,"NEW MEXICO",49,"Mountain West",2,3,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st",5174,35.084,-106.62
2,"COLORADO",129,"Pac-12",5,7,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st",5345,40.001,-105.266
3,"OREGON",214,"Pac-12",3,6,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st",446,44.045,-123.073
4,"PROVIDENCE",231,"Big East",9,13,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st",151,41.844,-71.435
5,"NC STATE",264,"ACC",11,16,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st",404,35.785,-78.682
6,"MICHIGAN",264,"Big Ten",12,18,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st",879,42.278,-83.738
7,"OKLAHOMA STATE",274,"Big 12",25,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st",938,36.127,-97.074
8,"NOTRE DAME",276,"ACC",21,29,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st",725,41.699,-86.239
9,"ARKANSAS",276,"SEC",-4,5,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st",1434,36.069,-94.175
10,"WASHINGTON",297,"Pac-12",13,23,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st",95,47.236,-122.55
11,"BOISE STATE",330,"Mountain West",0,11,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st",2730,43.603,-116.206
12,"SYRACUSE",359,"ACC",12,24,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st",551,43.039,-76.135
13,"MICHIGAN STATE",368,"Big Ten",-12,1,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st",863,42.702,-84.482
14,"STANFORD",379,"Pac-12",0,14,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st",89,37.428,-122.17
