"","Rank","Team","Points","Conference","Change","Previous Rank","Previous Ranking Class","Year","Season","Gender","Division","Description"
"232",16,"FLORIDA",455,"SEC",16,32,"Unranked",2018,"Cross Country","Women","I","FINAL - November 17th"
"233",17,"INDIANA",455,"Big Ten",7,24,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
"234",18,"COLUMBIA",468,"Ivy League",10,28,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
"235",19,"OKLAHOMA STATE",481,"Big 12",11,30,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
"236",20,"PENN STATE",482,"Big Ten",-2,18,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
"237",21,"PRINCETON",488,"Ivy League",11,32,"Unranked",2018,"Cross Country","Women","I","FINAL - November 17th"
"238",22,"OLE MISS",509,"SEC",3,25,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
"239",23,"FURMAN",527,"SoCon",-16,7,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
"240",24,"VILLANOVA",547,"Big East",-12,12,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
"241",25,"SOUTHERN UTAH",564,"Big Sky",7,32,"Unranked",2018,"Cross Country","Women","I","FINAL - November 17th"
"242",26,"FLORIDA STATE",584,"ACC",6,32,"Unranked",2018,"Cross Country","Women","I","FINAL - November 17th"
"243",27,"OREGON STATE",600,"Pac-12",5,32,"Unranked",2018,"Cross Country","Women","I","FINAL - November 17th"
"244",28,"GEORGIA TECH",653,"ACC",4,32,"Unranked",2018,"Cross Country","Women","I","FINAL - November 17th"
"245",29,"MINNESOTA",673,"Big Ten",-10,19,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
"246",30,"DARTMOUTH",751,"Ivy League",-1,29,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
"247",31,"TEXAS",862,"Big 12",0,31,"Ranked",2018,"Cross Country","Women","I","FINAL - November 17th"
"248",1,"NORTHERN ARIZONA",74,"Big Sky",0,1,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"249",2,"PORTLAND",127,"West Coast",11,13,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"250",3,"BYU",165,"West Coast",4,7,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"251",4,"STANFORD",221,"Pac-12",-2,2,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"252",5,"ARKANSAS",259,"SEC",0,5,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"253",6,"OREGON",274,"Pac-12",3,9,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"254",7,"IOWA STATE",279,"Big 12",9,16,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"255",8,"COLORADO",294,"Pac-12",-2,6,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"256",9,"COLORADO STATE",318,"Mountain West",8,17,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"257",10,"MICHIGAN",328,"Big Ten",22,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"258",11,"SOUTHERN UTAH",334,"Big Sky",16,27,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"259",12,"IONA",373,"Metro Atlantic",-2,10,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"260",13,"SYRACUSE",406,"ACC",-10,3,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"261",14,"ALABAMA",420,"SEC",18,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"262",15,"AIR FORCE",429,"Mountain West",17,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"263",16,"VIRGINIA",436,"ACC",2,18,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"264",17,"NC STATE",455,"ACC",5,22,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"265",18,"OLE MISS",465,"SEC",-14,4,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"266",19,"BOISE STATE",475,"Mountain West",0,19,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"267",20,"VIRGINIA TECH",481,"ACC",12,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"268",21,"UCLA",485,"Pac-12",-6,15,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"269",22,"WASHINGTON",488,"Pac-12",10,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"270",23,"MIDDLE TENNESSEE",513,"Conference USA",5,28,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"271",24,"WASHINGTON STATE",539,"Pac-12",-10,14,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"272",25,"MICHIGAN STATE",590,"Big Ten",-5,20,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"273",26,"FURMAN",603,"SoCon",6,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"274",27,"UTAH STATE",603,"Mountain West",5,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"275",28,"PRINCETON",620,"Ivy League",4,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"276",29,"OKLAHOMA STATE",637,"Big 12",-17,12,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"277",30,"TEXAS",759,"Big 12",0,30,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"278",31,"NAVY",855,"Patriot",-5,26,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
"279",1,"NEW MEXICO",90,"Mountain West",6,7,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"280",2,"SAN FRANCISCO",105,"West Coast",4,6,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"281",3,"COLORADO",139,"Pac-12",0,3,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"282",4,"STANFORD",165,"Pac-12",1,5,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"283",5,"OREGON",203,"Pac-12",-4,1,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"284",6,"BOISE STATE",264,"Mountain West",26,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"285",7,"FURMAN",271,"SoCon",25,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"286",8,"NC STATE",280,"ACC",-4,4,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"287",9,"MICHIGAN",295,"Big Ten",-7,2,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"288",10,"WISCONSIN",318,"Big Ten",4,14,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"289",11,"BYU",342,"West Coast",-1,10,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"290",12,"VILLANOVA",346,"Big East",9,21,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"291",13,"ARKANSAS",377,"SEC",6,19,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"292",14,"UTAH STATE",395,"Mountain West",18,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"293",15,"MICHIGAN STATE",395,"Big Ten",-7,8,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"294",16,"PROVIDENCE",400,"Big East",-3,13,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"295",17,"GEORGIA",411,"SEC",15,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"296",18,"PENN STATE",443,"Big Ten",0,18,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"297",19,"MINNESOTA",488,"Big Ten",13,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"298",20,"IOWA STATE",508,"Big 12",9,29,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"299",21,"WASHINGTON",513,"Pac-12",-9,12,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"300",22,"CALIFORNIA",530,"Pac-12",10,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"301",23,"EASTERN KENTUCKY",537,"Ohio Valley",9,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"302",24,"INDIANA",562,"Big Ten",8,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"303",25,"OLE MISS",571,"SEC",-2,23,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"304",26,"SYRACUSE",582,"ACC",6,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"305",27,"EASTERN MICHIGAN",603,"Mid-American",-18,9,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"306",28,"COLUMBIA",672,"Ivy League",4,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"307",29,"DARTMOUTH",745,"Ivy League",3,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"308",30,"OKLAHOMA STATE",748,"Big 12",-13,17,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"309",31,"TEXAS",788,"Big 12",1,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
"310",1,"NORTHERN ARIZONA",125,"Big Sky",31,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"311",2,"STANFORD",158,"Pac-12",1,3,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"312",3,"SYRACUSE",164,"ACC",-2,1,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"313",4,"OLE MISS",196,"SEC",26,30,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"314",5,"ARKANSAS",206,"SEC",1,6,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"315",6,"COLORADO",223,"Pac-12",-4,2,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"316",7,"BYU",247,"WCC",5,12,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"317",8,"WISCONSIN",256,"Big Ten",24,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"318",9,"OREGON",282,"Pac-12",-5,4,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"319",10,"IONA",319,"Metro Atlantic",-5,5,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"320",11,"TULSA",340,"American",9,20,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"321",12,"OKLAHOMA STATE",363,"Big 12",6,18,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"322",13,"PORTLAND",368,"WCC",19,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"323",14,"WASHINGTON STATE",370,"Pac-12",12,26,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"324",15,"UCLA",378,"Pac-12",-1,14,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"325",16,"IOWA STATE",384,"Big 12",16,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"326",17,"COLORADO STATE",388,"Mountain West",15,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"327",18,"VIRGINIA",476,"ACC",4,22,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"328",19,"BOISE STATE",478,"Mountain West",-3,16,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"329",20,"MICHIGAN STATE",504,"Big Ten",5,25,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"330",21,"GEORGETOWN",534,"Big East",-11,10,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"331",22,"NC STATE",543,"ACC",6,28,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"332",23,"ILLINOIS",564,"Big Ten",9,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"333",24,"PROVIDENCE",611,"Big East",8,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"334",25,"DARTMOUTH",621,"Ivy League",7,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"335",26,"NAVY",622,"Patriot",6,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"336",27,"SOUTHERN UTAH",629,"Big Sky",-6,21,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"337",28,"MIDDLE TENNESSEE",697,"Conference USA",4,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"338",29,"UTEP",707,"Conference USA",-18,11,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"339",30,"TEXAS",736,"Big 12",1,31,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"340",31,"CALIFORNIA",776,"Pac-12",-8,23,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
"341",1,"OREGON",125,"Pac-12",2,3,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"342",2,"MICHIGAN",126,"Big Ten",4,6,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"343",3,"COLORADO",134,"Pac-12",-1,2,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"344",4,"NC STATE",223,"ACC",1,5,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"345",5,"STANFORD",255,"Pac-12",9,14,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"346",6,"SAN FRANCISCO",307,"WCC",22,28,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"347",7,"NEW MEXICO",310,"Mountain West",-6,1,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"348",8,"MICHIGAN STATE",314,"Big Ten",5,13,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"349",9,"EASTERN MICHIGAN",316,"Mid-American",23,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"350",10,"BYU",328,"WCC",13,23,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"351",11,"NOTRE DAME",338,"ACC",-3,8,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"352",12,"WASHINGTON",352,"Pac-12",-2,10,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"353",13,"PROVIDENCE",399,"Big East",-9,4,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"354",14,"WISCONSIN",451,"Big Ten",18,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"355",15,"MISSISSIPPI STATE",459,"SEC",2,17,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"356",16,"MISSOURI",459,"SEC",16,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"357",17,"OKLAHOMA STATE",465,"Big 12",-10,7,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"358",18,"PENN STATE",465,"Big Ten",-2,16,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"359",19,"ARKANSAS",476,"SEC",-10,9,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"360",20,"UTAH",493,"Pac-12",6,26,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"361",21,"VILLANOVA",505,"Big East",9,30,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"362",22,"PORTLAND",509,"WCC",10,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"363",23,"OLE MISS",514,"SEC",9,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"364",24,"PENN",520,"Ivy League",8,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"365",25,"AIR FORCE",527,"Mountain West",7,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"366",26,"HARVARD",551,"Ivy League",6,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"367",27,"BAYLOR",586,"Big 12",5,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"368",28,"UCLA",596,"Pac-12",4,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"369",29,"IOWA STATE",608,"Big 12",-5,24,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"370",30,"YALE",661,"Ivy League",2,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"371",31,"LOUISVILLE",788,"ACC",1,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
"372",1,"SYRACUSE",82,"ACC",4,5,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"373",2,"COLORADO",91,"Pac-12",-1,1,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"374",3,"STANFORD",151,"Pac-12",-1,2,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"375",4,"OREGON",183,"Pac-12",2,6,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"376",5,"IONA",231,"Metro Atlantic",3,8,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"377",6,"ARKANSAS",244,"SEC",22,28,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"378",7,"LOUISVILLE",331,"ACC",25,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"379",8,"WASHINGTON",345,"Pac-12",12,20,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"380",9,"MICHIGAN",348,"Big Ten",2,11,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"381",10,"GEORGETOWN",352,"Big East",7,17,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"382",11,"UTEP",354,"Conference USA",16,27,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"383",12,"BYU",406,"WCC",4,16,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"384",13,"FURMAN",423,"SoCon",17,30,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"385",14,"UCLA",429,"Pac-12",4,18,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"386",15,"OKLAHOMA",432,"Big 12",17,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"387",16,"BOISE STATE",435,"Mountain West",16,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"388",17,"EASTERN KENTUCKY",446,"OVC",6,23,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"389",18,"OKLAHOMA STATE",450,"Big 12",-9,9,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"390",19,"MINNESOTA",464,"Big Ten",13,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"391",20,"TULSA",468,"American",5,25,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"392",21,"SOUTHERN UTAH",477,"Big Sky",1,22,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"393",22,"VIRGINIA",480,"ACC",-1,21,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"394",23,"CALIFORNIA",524,"Pac-12",9,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"395",24,"PENN",526,"Ivy League",8,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"396",25,"MICHIGAN STATE",543,"Big Ten",-1,24,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"397",26,"WASHINGTON STATE",547,"Pac-12",6,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"398",27,"VIRGINIA TECH",581,"ACC",5,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"399",28,"NC STATE",596,"ACC",4,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"400",29,"FLORIDA STATE",598,"ACC",2,31,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"401",30,"OLE MISS",607,"SEC",-1,29,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"402",31,"TEXAS",833,"Big 12",-5,26,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
"403",1,"NEW MEXICO",49,"Mountain West",2,3,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"404",2,"COLORADO",129,"Pac-12",5,7,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"405",3,"OREGON",214,"Pac-12",3,6,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"406",4,"PROVIDENCE",231,"Big East",9,13,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"407",5,"NC STATE",264,"ACC",11,16,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"408",6,"MICHIGAN",264,"Big Ten",12,18,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"409",7,"OKLAHOMA STATE",274,"Big 12",25,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"410",8,"NOTRE DAME",276,"ACC",21,29,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"411",9,"ARKANSAS",276,"SEC",-4,5,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"412",10,"WASHINGTON",297,"Pac-12",13,23,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"413",11,"BOISE STATE",330,"Mountain West",0,11,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"414",12,"SYRACUSE",359,"ACC",12,24,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"415",13,"MICHIGAN STATE",368,"Big Ten",-12,1,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"416",14,"STANFORD",379,"Pac-12",0,14,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"417",15,"VIRGINIA",386,"ACC",0,15,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"418",16,"PENN STATE",396,"Big Ten",16,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"419",17,"MISSISSIPPI STATE",405,"SEC",15,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"420",18,"MINNESOTA",471,"Big Ten",13,31,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"421",19,"VANDERBILT",474,"SEC",9,28,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"422",20,"GEORGETOWN",491,"Big East",-16,4,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"423",21,"PRINCETON",524,"Ivy League",11,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"424",22,"WEBER STATE",558,"Big Sky",10,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"425",23,"BYU",591,"WCC",9,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"426",24,"IOWA STATE",591,"Big 12",-22,2,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"427",25,"GONZAGA",615,"WCC",7,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"428",26,"UTAH",618,"Pac-12",6,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"429",27,"KANSAS",625,"Big 12",5,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"430",28,"SAN FRANCISCO",636,"WCC",4,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"431",29,"TULSA",646,"American",3,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"432",30,"VILLANOVA",667,"Big East",2,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"433",31,"TEXAS",828,"Big 12",1,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
"434",1,"COLORADO",65,"Pac-12",0,1,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"435",2,"STANFORD",98,"Pac-12",17,19,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"436",3,"PORTLAND",175,"WCC",4,7,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"437",4,"NORTHERN ARIZONA",188,"Big Sky",-2,2,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"438",5,"SYRACUSE",206,"ACC",5,10,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"439",6,"OREGON",221,"Pac-12",-1,5,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"440",7,"VILLANOVA",230,"Big East",11,18,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"441",8,"IONA",270,"Metro Atlantic",-2,6,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"442",9,"OKLAHOMA STATE",296,"Big 12",-6,3,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"443",10,"WISCONSIN",335,"Big Ten",-1,9,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"444",11,"MICHIGAN",365,"Big Ten",10,21,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"445",12,"NORTH CAROLINA",380,"ACC",5,17,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"446",13,"PROVIDENCE",393,"Big East",3,16,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"447",14,"NEW MEXICO",394,"Mountain West",-3,11,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"448",15,"INDIANA",416,"Big Ten",-7,8,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"449",16,"BYU",437,"WCC",-12,4,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"450",17,"GEORGETOWN",444,"Big East",15,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"451",18,"UCLA",454,"Pac-12",14,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"452",19,"COLORADO STATE",468,"Mountain West",7,26,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"453",20,"WASHINGTON",479,"Pac-12",12,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"454",21,"VIRGINIA",502,"ACC",-8,13,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"455",22,"SOUTHERN UTAH",578,"Big Sky",10,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"456",23,"EASTERN KENTUCKY",579,"OVC",-8,15,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"457",24,"MICHIGAN STATE",583,"Big Ten",8,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"458",25,"TULSA",584,"American",2,27,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"459",26,"TEXAS",615,"Big 12",-12,14,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"460",27,"UTEP",629,"Conference USA",5,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"461",28,"ARKANSAS",647,"SEC",-16,12,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"462",29,"OLE MISS",685,"SEC",3,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"463",30,"FURMAN",747,"SoCon",2,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"464",31,"FLORIDA STATE",822,"ACC",1,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
"465",1,"MICHIGAN STATE",85,"Big Ten",5,6,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
"466",2,"IOWA STATE",147,"Big 12",11,13,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
"467",3,"NEW MEXICO",188,"Mountain West",7,10,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
"468",4,"GEORGETOWN",189,"Big East",1,5,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
"469",5,"ARKANSAS",209,"SEC",10,15,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
