"","Rank","Team","Points","Conference","Change","Previous Rank","Previous Ranking Class","Year","Season","Gender","Division","Description"
"54",23,"NORTHERN ARIZONA",532,"Big Sky",-12,11,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st"
"55",24,"OREGON",534,"Pac-12",8,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st"
"56",25,"HARVARD",541,"Ivy League",7,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st"
"57",26,"PROVIDENCE",594,"Big East",6,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st"
"58",27,"VILLANOVA",605,"Big East",5,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st"
"59",28,"UTAH STATE",638,"Mountain West",4,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st"
"60",29,"BUTLER",660,"Big East",3,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st"
"61",30,"SYRACUSE",768,"ACC",2,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st"
"62",31,"RICE",811,"Conference USA",1,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st"
"63",1,"NORTHERN ARIZONA",60,"Big Sky",1,2,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"64",2,"NOTRE DAME",87,"ACC",7,9,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"65",3,"OKLAHOMA STATE",142,"Big 12",3,6,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"66",4,"ARKANSAS",181,"SEC",-1,3,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"67",5,"STANFORD",194,"Pac-12",-1,4,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"68",6,"TULSA",237,"American",-1,5,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"69",7,"BYU",254,"WCC",-6,1,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"70",8,"IOWA STATE",265,"Big 12",-1,7,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"71",9,"SOUTHERN UTAH",270,"Big Sky",17,26,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"72",10,"IONA",311,"Metro Atlantic",2,12,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"73",11,"UTAH STATE",351,"Mountain West",10,21,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"74",12,"OLE MISS",373,"SEC",3,15,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"75",13,"BUTLER",379,"Big East",9,22,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"76",14,"COLORADO",398,"Pac-12",-6,8,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"77",15,"WAKE FOREST",425,"ACC",5,20,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"78",16,"DUKE",462,"ACC",16,32,"Unranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"79",17,"MICHIGAN STATE",463,"Big Ten",11,28,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"80",18,"WISCONSIN",464,"Big Ten",-7,11,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"81",19,"AIR FORCE",464,"Mountain West",0,19,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"82",20,"VILLANOVA",468,"Big East",12,32,"Unranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"83",21,"PORTLAND",472,"WCC",-4,17,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"84",22,"GEORGETOWN",528,"Big East",10,32,"Unranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"85",23,"NC STATE",547,"ACC",-10,13,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"86",24,"FURMAN",560,"SoCon",8,32,"Unranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"87",25,"WASHINGTON",568,"Pac-12",-15,10,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"88",26,"INDIANA",572,"Big Ten",-9,17,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"89",27,"GONZAGA",591,"WCC",-13,14,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"90",28,"CHARLOTTE",634,"Conference USA",2,30,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"91",29,"PURDUE",741,"Big Ten",-5,24,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"92",30,"SYRACUSE",761,"ACC",-5,25,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
"93",1,"BYU",96,"WCC",1,2,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"94",2,"NC STATE",161,"ACC",3,5,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"95",3,"STANFORD",207,"Pac-12",1,4,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"96",4,"MICHIGAN STATE",212,"Big Ten",3,7,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"97",5,"MINNESOTA",239,"Big Ten",6,11,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"98",6,"NEW MEXICO",274,"Mountain West",-3,3,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"99",7,"COLORADO",279,"Pac-12",-1,6,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"100",8,"ALABAMA",280,"SEC",5,13,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"101",9,"BOISE STATE",304,"Mountain West",1,10,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"102",10,"ARKANSAS",316,"SEC",-9,1,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"103",11,"NORTHERN ARIZONA",318,"Big Sky",-2,9,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"104",12,"OLE MISS",325,"SEC",14,26,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"105",13,"WASHINGTON",330,"Pac-12",-1,12,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"106",14,"NORTH CAROLINA",354,"ACC",18,32,"Unranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"107",15,"FLORIDA STATE",363,"ACC",3,18,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"108",16,"OREGON STATE",375,"Pac-12",7,23,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"109",17,"MICHIGAN",400,"Big Ten",-9,8,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"110",18,"GEORGETOWN",494,"Big East",3,21,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"111",19,"INDIANA",494,"Big Ten",-2,17,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"112",20,"GEORGIA TECH",508,"ACC",-5,15,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"113",21,"ILLINOIS",521,"Big Ten",-5,16,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"114",22,"PORTLAND",522,"WCC",-2,20,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"115",23,"COLORADO STATE",532,"Mountain West",9,32,"Unranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"116",24,"OKLAHOMA STATE",535,"Big 12",-2,22,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"117",25,"IOWA STATE",580,"Big 12",-1,24,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"118",26,"LIBERTY",611,"ASUN",6,32,"Unranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"119",27,"DUKE",625,"ACC",-8,19,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"120",28,"TULSA",650,"American",4,32,"Unranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"121",29,"WEST VIRGINIA",668,"Big 12",-2,27,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"122",30,"SAN FRANCISCO",688,"WCC",-3,27,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"123",31,"FURMAN",761,"SoCon",-17,14,"Ranked",2020,"Cross Country","Women","I","FINAL - March 15th"
"124",1,"BYU",109,"WCC",1,2,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"125",2,"NORTHERN ARIZONA",163,"Big Sky",-1,1,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"126",3,"COLORADO",164,"Pac-12",1,4,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
